choco_list,qty,price
milkybar,9,20
eclairs,8,20
mango bite,1,10
eclairs,7,20
ferrero rocher,3,20
milkybar,10,20
ferrero rocher,9,10
kitkat,2,10
bounty,3,10
alpenlibe,6,10
mango bite,6,20
cadbury,10,10
5  star,2,10
kitkat,7,20
cadbury,2,20
cadbury,8,10
bounty,9,10
5  star,5,10
ferrero rocher,9,20
milkybar,7,20
ferrero rocher,5,10
milkybar,6,10
mango bite,6,10
cadbury,8,10
bournville,5,10
cadbury,9,10
cadbury,6,20
milkybar,10,10
alpenlibe,4,20
milkybar,5,10
5  star,6,10
bournville,10,10
milkybar,6,10
mango bite,9,10
mango bite,5,10
eclairs,1,10
bounty,8,10
cadbury,2,20
bounty,10,20
ferrero rocher,1,20
eclairs,6,20
kitkat,10,20
kitkat,8,10
5  star,4,20
5  star,9,10
eclairs,1,20
bournville,7,20
ferrero rocher,6,20
bounty,3,20
kitkat,5,10
ferrero rocher,3,10
kitkat,1,10
kitkat,8,20
kitkat,10,20
mango bite,5,10
bournville,4,20
kitkat,4,20
5  star,3,10
bournville,5,10
cadbury,7,10
ferrero rocher,1,20
ferrero rocher,8,10
alpenlibe,7,20
eclairs,7,10
cadbury,7,20
mango bite,10,20
bounty,6,20
5  star,8,10
5  star,2,20
ferrero rocher,8,10
mango bite,3,10
5  star,5,20
kitkat,10,10
bounty,4,10
ferrero rocher,8,20
bournville,4,10
milkybar,9,20
mango bite,5,20
eclairs,4,20
alpenlibe,3,20
alpenlibe,6,20
5  star,3,20
bournville,1,10
ferrero rocher,2,20
5  star,2,20
milkybar,1,10
milkybar,3,20
cadbury,5,10
milkybar,1,20
kitkat,2,10
kitkat,2,20
bournville,10,10
milkybar,9,20
bounty,2,10
5  star,4,10
eclairs,10,20
milkybar,8,20
mango bite,4,10
mango bite,2,10
